Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1515,SREIBNPNCD,Y7,1,1,100.00
20,1516,SREIBNPNCD,Y8,1,1,100.00
20,1517,SRF,EQ,852480,127131,14.91
20,1518,SRHHYPOLTD,EQ,24068,12071,50.15
20,1519,SRIPIPES,EQ,202295,49259,24.35
20,1520,SRTRANSFIN,EQ,1333534,486499,36.48
20,1521,SRTRANSFIN,YI,46,46,100.00
20,1522,SRTRANSFIN,YK,620,488,78.71
20,1523,SRTRANSFIN,YL,250,250,100.00
20,1524,SRTRANSFIN,YN,950,900,94.74
20,1525,SRTRANSFIN,YP,281,280,99.64
20,1526,SRTRANSFIN,YQ,110,110,100.00
20,1527,SRTRANSFIN,YS,194,179,92.27
20,1528,SRTRANSFIN,YW,517,517,100.00
20,1529,SRTRANSFIN,YY,75,75,100.00
20,1530,SRTRANSFIN,Z5,25,25,100.00
20,1531,S&SPOWER,EQ,4275,2872,67.18
20,1532,SSWL,EQ,144342,44570,30.88
20,1533,STAR,EQ,340979,126295,37.04
20,1534,STARCEMENT,EQ,391654,93627,23.91
20,1535,STARPAPER,EQ,685450,191514,27.94
20,1536,STCINDIA,EQ,157149,58004,36.91
20,1537,STEELCITY,EQ,146614,86907,59.28
20,1538,STEELXIND,EQ,729857,368299,50.46
20,1539,STEL,EQ,28398,20377,71.76
20,1540,STERTOOLS,EQ,2255668,596038,26.42
20,1541,STLTECH,EQ,707758,327736,46.31
20,1542,STOVEKRAFT,EQ,178600,69097,38.69
20,1543,SUBEXLTD,EQ,12006703,5444356,45.34
20,1544,SUBROS,EQ,58267,24938,42.80
20,1545,SUDARSCHEM,EQ,95969,51207,53.36
20,1546,SUMICHEM,EQ,447367,130810,29.24
20,1547,SUMIT,EQ,206094,98516,47.80
20,1548,SUMMITSEC,EQ,9853,7130,72.36
20,1549,SUNCLAYLTD,EQ,13703,8040,58.67
20,1550,SUNDARMFIN,EQ,43704,28798,65.89
20,1551,SUNDARMHLD,EQ,330397,173817,52.61
20,1552,SUNDRMBRAK,EQ,6044,3329,55.08
20,1553,SUNDRMFAST,EQ,74622,31733,42.52
20,1554,SUNFLAG,EQ,1718536,418188,24.33
20,1555,SUNPHARMA,EQ,3332667,1223819,36.72
20,1556,SUNTECK,EQ,1151031,198483,17.24
20,1557,SUNTV,EQ,1852070,604935,32.66
20,1558,SUPERHOUSE,EQ,56083,18946,33.78
20,1559,SUPRAJIT,EQ,1046632,316253,30.22
20,1560,SUPREMEENG,EQ,18417,13255,71.97
20,1561,SUPREMEIND,EQ,54615,39906,73.07
20,1562,SURANASOL,EQ,174038,110438,63.46
20,1563,SURANAT&P,EQ,113376,61668,54.39
20,1564,SURANI,SM,6000,6000,100.00
20,1565,SURYAROSNI,EQ,213181,98204,46.07
20,1566,SURYODAY,EQ,59092,35016,59.26
20,1567,SUTLEJTEX,EQ,941668,372374,39.54
20,1568,SUULD,EQ,15432,9117,59.08
20,1569,SUVEN,EQ,288712,145286,50.32
20,1570,SUVENPHAR,EQ,192559,115256,59.85
20,1571,SUVIDHAA,EQ,114111,83923,73.55
20,1572,SUZLON,EQ,67522770,29964174,44.38
20,1573,SVPGLOB,EQ,72476,49473,68.26
20,1574,SWANENERGY,EQ,252640,75466,29.87
20,1575,SWARAJENG,EQ,35646,22162,62.17
20,1576,SWELECTES,EQ,16457,9671,58.77
20,1577,SWSOLAR,EQ,1632149,469627,28.77
20,1578,SYMPHONY,EQ,213997,102884,48.08
20,1579,SYNGENE,EQ,657709,228057,34.67
20,1580,TAINWALCHM,EQ,67409,33360,49.49
20,1581,TAJGVK,EQ,117578,40344,34.31
20,1582,TAKE,EQ,1205138,545460,45.26
20,1583,TALBROAUTO,EQ,83049,22685,27.32
20,1584,TARACHAND,SM,4000,4000,100.00
20,1585,TARAPUR,EQ,48080,40554,84.35
20,1586,TARMAT,EQ,465818,167032,35.86
20,1587,TASTYBITE,EQ,1436,533,37.12
20,1588,TATACAPHSG,N2,110,100,90.91
20,1589,TATACAPHSG,NB,10,10,100.00
20,1590,TATACHEM,EQ,1728583,540621,31.28
20,1591,TATACOFFEE,EQ,35578033,4523380,12.71
20,1592,TATACOMM,EQ,2365261,622315,26.31
20,1593,TATACONSUM,EQ,3112462,1241426,39.89
20,1594,TATAELXSI,EQ,104560,55543,53.12
20,1595,TATAINVEST,EQ,36313,18253,50.27
20,1596,TATAMETALI,EQ,438391,135964,31.01
20,1597,TATAMOTORS,EQ,36139725,16502661,45.66
20,1598,TATAMTRDVR,EQ,1898100,1148521,60.51
20,1599,TATAPOWER,EQ,19451371,5119495,26.32
20,1600,TATASTEEL,EQ,12835125,1979862,15.43
20,1601,TATASTLBSL,EQ,6441972,2903881,45.08
20,1602,TBZ,EQ,963220,341517,35.46
20,1603,TCFSL,NB,750,750,100.00
20,1604,TCFSL,ND,690,652,94.49
20,1605,TCFSL,NH,49,49,100.00
20,1606,TCFSL,NL,320,310,96.88
20,1607,TCI,EQ,74403,31280,42.04
20,1608,TCIDEVELOP,EQ,2827,1959,69.30
20,1609,TCIEXP,EQ,338961,39599,11.68
20,1610,TCIFINANCE,EQ,2080,2030,97.60
20,1611,TCNSBRANDS,EQ,16070,6738,41.93
20,1612,TCPLPACK,EQ,32832,16812,51.21
20,1613,TCS,EQ,1660654,954569,57.48
20,1614,TDPOWERSYS,EQ,102570,37585,36.64
20,1615,TEAMLEASE,EQ,87458,20795,23.78
20,1616,TECHIN,EQ,14693,8744,59.51
20,1617,TECHM,EQ,2533035,1196305,47.23
20,1618,TECHNOE,EQ,42683,25432,59.58
20,1619,TEMBO,EQ,46842,17700,37.79
20,1620,TERASOFT,EQ,108002,61490,56.93
20,1621,TEXINFRA,EQ,50437,40980,81.25
20,1622,TEXMOPIPES,EQ,261592,182577,69.79
20,1623,TEXRAIL,EQ,964934,420343,43.56
20,1624,TFCILTD,EQ,657509,147877,22.49
20,1625,TFL,EQ,8609,8014,93.09
20,1626,TGBHOTELS,EQ,30211,20304,67.21
20,1627,THANGAMAYL,EQ,6315,3621,57.34
20,1628,THEINVEST,EQ,46663,28232,60.50
20,1629,THEJO,SM,2300,2300,100.00
20,1630,THEMISMED,EQ,11055,6384,57.75
20,1631,THERMAX,EQ,13770,7596,55.16
20,1632,THOMASCOOK,EQ,1147422,537538,46.85
20,1633,THYROCARE,EQ,223818,143847,64.27
20,1634,TIIL,EQ,32173,17173,53.38
20,1635,TIINDIA,EQ,454114,356565,78.52
20,1636,TIL,EQ,2445,1957,80.04
20,1637,TIMESGTY,EQ,9210,4807,52.19
20,1638,TIMETECHNO,EQ,601776,278062,46.21
20,1639,TIMKEN,EQ,101420,39068,38.52
20,1640,TINPLATE,EQ,721426,247059,34.25
20,1641,TIRUMALCHM,EQ,989180,369435,37.35
20,1642,TITAN,EQ,1714957,764041,44.55
20,1643,TMRVL,EQ,73718,48473,65.75
20,1644,TNPETRO,EQ,762969,374822,49.13
20,1645,TNPL,EQ,625777,241030,38.52
20,1646,TOKYOPLAST,EQ,10554,4603,43.61
20,1647,TORNTPHARM,EQ,916364,172988,18.88
20,1648,TORNTPOWER,EQ,833983,318768,38.22
20,1649,TOTAL,EQ,58175,33634,57.82
20,1650,TOUCHWOOD,EQ,22215,17775,80.01
20,1651,TPLPLASTEH,EQ,92332,29289,31.72
20,1652,TRANSWIND,SM,16000,16000,100.00
20,1653,TREJHARA,EQ,133797,67622,50.54
20,1654,TRENT,EQ,740399,242714,32.78
20,1655,TRIDENT,EQ,90683543,32982330,36.37
20,1656,TRIGYN,EQ,251878,139519,55.39
20,1657,TRIL,EQ,520095,250386,48.14
20,1658,TRITURBINE,EQ,233924,83457,35.68
20,1659,TRIVENI,EQ,820261,373609,45.55
20,1660,TTKHLTCARE,EQ,43829,24951,56.93
20,1661,TTKPRESTIG,EQ,24277,8585,35.36
20,1662,TTL,EQ,47829,25674,53.68
20,1663,TV18BRDCST,EQ,10540199,2936088,27.86
20,1664,TVSELECT,EQ,35439,21949,61.93
20,1665,TVSMOTOR,EQ,1004507,400490,39.87
20,1666,TVSSRICHAK,EQ,6839,4014,58.69
20,1667,TVTODAY,EQ,70421,37541,53.31
20,1668,TVVISION,EQ,29487,29486,100.00
20,1669,TWL,EQ,1297555,432631,33.34
20,1670,UBL,EQ,538338,160197,29.76
20,1671,UCALFUEL,EQ,66008,31493,47.71
20,1672,UCOBANK,EQ,6222143,2053743,33.01
20,1673,UFLEX,EQ,1984167,386503,19.48
20,1674,UFO,EQ,811707,351678,43.33
20,1675,UGARSUGAR,EQ,620278,364297,58.73
20,1676,UJAAS,EQ,781199,520572,66.64
20,1677,UJJIVAN,EQ,647404,202739,31.32
20,1678,UJJIVANSFB,EQ,2020520,963609,47.69
20,1679,ULTRACEMCO,EQ,289531,129849,44.85
20,1680,UMANGDAIRY,EQ,109689,30740,28.02
20,1681,UMESLTD,EQ,28789,19859,68.98
20,1682,UNICHEMLAB,EQ,53821,32517,60.42
20,1683,UNIDT,EQ,173549,121479,70.00
20,1684,UNIENTER,EQ,17621,6620,37.57
20,1685,UNIINFO,SM,2000,2000,100.00
20,1686,UNIONBANK,EQ,7086469,2403885,33.92
20,1687,UNITEDTEA,EQ,199072,49817,25.02
20,1688,UNIVASTU,EQ,16947,11620,68.57
